prefixe_scian,categorie,coef_consommation,source
2213,Aqueduc municipal,0.15,Tableau 3 RDPE (officiel)
1111,Cultures agricoles,0.9,Tableau 3 RDPE (officiel)
1112,Cultures agricoles,0.9,Tableau 3 RDPE (officiel)
1113,Cultures agricoles,0.9,Tableau 3 RDPE (officiel)
1114,Cultures agricoles,0.9,Tableau 3 RDPE (officiel)
1119,Cultures agricoles,0.9,Tableau 3 RDPE (officiel)
71391,Terrains de golf,0.9,Tableau 3 RDPE (officiel)
1121,Elevage,0.8,Tableau 3 RDPE (officiel)
1122,Elevage,0.8,Tableau 3 RDPE (officiel)
1123,Elevage,0.8,Tableau 3 RDPE (officiel)
1124,Elevage,0.8,Tableau 3 RDPE (officiel)
1129,Elevage,0.8,Tableau 3 RDPE (officiel)
1125,Aquaculture,0.0,Tableau 3 RDPE (officiel)
1141,Aquaculture,0.0,Tableau 3 RDPE (officiel)
32513,Fab. de teintures & de pigments synthétiques,0.0077225733369796,Mediane empirique RDPE 2020-2024 (n=48)
112510,Aquaculture animale,0.0079922075443362,Mediane empirique RDPE 2020-2024 (n=84)
311310,Fab. de sucre,0.0089999264064028,Mediane empirique RDPE 2020-2024 (n=60)
32212,Usines de papier,0.009000440135259,Mediane empirique RDPE 2020-2024 (n=36)
325189,Fab. tous les autres prod. chim. inorg. de base,0.0098565745393634,Mediane empirique RDPE 2020-2024 (n=71)
412110,Grossistes de produits pétroliers,0.0180940892641737,Mediane empirique RDPE 2020-2024 (n=36)
325210,Fab. de résines & de caoutchouc synthétique,0.0299996275692079,Mediane empirique RDPE 2020-2024 (n=24)
5619,Autres services de soutien,0.03,Mediane empirique RDPE 2020-2024 (n=6)
3221,"Usines de pâte à papier, de papier & de carton",0.0373356671992049,Mediane empirique RDPE 2020-2024 (n=216)
331410,Fonte & affinage métaux non ferreux (sauf Al),0.04,Mediane empirique RDPE 2020-2024 (n=120)
486990,"Tous les autres services, transport pipeline",0.0478026367779878,Mediane empirique RDPE 2020-2024 (n=60)
3311,Sidérurgie,0.0967162482369522,Mediane empirique RDPE 2020-2024 (n=120)
322121,Usines de papier (sauf papier journal),0.1,Mediane empirique RDPE 2020-2024 (n=349)
322112,Usines de pâte chimique,0.1,Mediane empirique RDPE 2020-2024 (n=60)
71392,Centres de ski,0.1,Mediane empirique RDPE 2020-2024 (n=257)
213119,Autres activités de soutien à extract. minière,0.1,Mediane empirique RDPE 2020-2024 (n=24)
331110,Sidérurgie,0.1,Mediane empirique RDPE 2020-2024 (n=60)
21231,Extraction de pierre,0.1,Mediane empirique RDPE 2020-2024 (n=220)
