station,nom,superficie_km2,hiver_Q2_7,hiver_Q10_7,hiver_Q5_30,ete_Q2_7,ete_Q10_7,ete_Q5_30,commentaires
010101,Grande Rivière,534.0,1.38,0.87,1.15,2.34,1.18,1.81,1972-1997
010802,Bonaventure,1906.0,6.62,4.53,5.63,8.93,6.13,7.96,1983-2020
010902_03,Petite Cascapédia,1340.0,5.18,3.91,4.54,7.81,5.31,6.9,010902 : 1981-2005 et 2010-2020 010903 : 2005-2010
011003,Cascapédia,1690.0,6.89,5.55,6.34,11.79,8.73,11.78,1978-2019
011204_01,Nouvelle,1139.0,3.52,2.14,2.97,5.55,3.43,4.65,011201 : 1970-2001 011204 : 2002-2021
011508,Matapédia,555.0,2.74,1.85,2.29,1.38,0.56,0.99,1982-2019
011509,Matapédia,2753.0,12.23,8.65,10.57,10.93,7.26,9.98,1998-2020
020404,York,647.0,1.8,1.26,1.51,2.7,1.64,2.31,1980-2020
020602,Dartmouth,626.0,1.84,1.29,1.57,1.65,1.04,1.54,Hiver : 1994-2020
020802,Madeleine,1200.0,3.57,2.48,3.06,7.37,5.19,6.71,1970-1996
021407,Sainte-Anne,772.0,3.43,2.52,3.05,5.77,4.17,5.61,1973-2020
021502,Du Cap Chat,721.0,2.58,1.83,2.27,4.26,2.69,4.17,1970-1996
021601,Matane,1655.0,6.17,4.23,5.28,6.61,7.38,6.95,1970-2020
021702,Blanche,223.0,0.747,0.413,0.569,0.313,0.132,0.243,Hiver : 1990-2020
021915,Neigette,494.0,1.187,0.704,0.961,0.938,0.411,0.679,1974-1998
021916,Petite Neigette,94.9,0.338,0.209,0.28,0.143,0.042,0.097,2000-2019
022003,Rimouski,1615.0,5.32,3.33,4.41,2.71,1.66,2.62,Hiver : 1970-2020
022301,Trois-Pistoles,930.0,2.41,1.36,1.9,1.21,0.55,0.99,1970-2020
022507,Du Loup,515.0,1.57,0.9,1.23,0.72,0.34,0.68,1990-2020
022601,Kamouraska,215.2,0.475,0.243,0.365,0.136,0.048,0.112,2008-2020
022704_03,Ouelle,796.0,1.491,0.687,1.063,0.928,0.369,0.884,022703 : 1970-1981 022704 : 1982-2021
023002,Boyer Sud,61.0,0.132,0.065,0.105,0.064,0.025,0.064,1993-2020
