station,nom_intervenant,num_site,secteur_scian,municipalite,debit_estival_m3s,volume_annuel_moyen_Mm3,premiere_annee,derniere_annee,rang
011508,MUNICIPALITÉ DE LAC-AU-SAUMON,51736.0,Réseaux d'aqueduc & systèmes d'irrigation,Lac-au-Saumon,0.008979518719417007,0.11505503333333333,2020.0,2022.0,1
011508,Municipalité de la paroisse de Saint-Alexandre-des-Lacs,51807.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Alexandre-des-Lacs,0.0005177220230983672,0.00684,2024.0,2024.0,2
011509,MUNICIPALITÉ DE LAC-AU-SAUMON,51736.0,Réseaux d'aqueduc & systèmes d'irrigation,Lac-au-Saumon,0.008979518719417007,0.11505503333333333,2020.0,2022.0,1
011509,CLUB DE GOLF REVERMONT (1984) INC.,57552.0,Terrains de golf & country clubs,Amqui,0.0012245493696164678,0.00776194,2020.0,2024.0,2
011509,Municipalité de la paroisse de Saint-Alexandre-des-Lacs,51807.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Alexandre-des-Lacs,0.0005177220230983672,0.00684,2024.0,2024.0,3
020602,VILLE DE  GASPÉ,61000.0,Réseaux d'aqueduc & systèmes d'irrigation,Gaspé,0.03901245818399045,0.5153504,2020.0,2024.0,1
021702,Municipalité de Saint-Ulric,51816.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Ulric,0.0030025915969733178,0.0396924,2020.0,2024.0,1
021915,MUNICIPALITÉ DE LA PAROISSE DE SAINT-DONAT,51810.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Donat,0.0014322120171246515,0.018933,2020.0,2021.0,1
021916,MUNICIPALITÉ DE LA PAROISSE DE SAINT-DONAT,51810.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Donat,0.0014322120171246515,0.018933,2020.0,2021.0,1
022003,9155-4253 Québec inc.,59198.0,Terrains de golf & country clubs,Rimouski,0.0006944743130227001,0.00822,2020.0,2024.0,1
022003,9155-4253 Québec inc.,44324.0,Terrains de golf & country clubs,Rimouski,0.0006926523297491039,0.008196,2020.0,2024.0,2
022301,VILLE DE TROIS-PISTOLES,68953.0,Réseaux d'aqueduc & systèmes d'irrigation,Notre-Dame-des-Neiges,0.020720268493628034,0.2738304,2020.0,2020.0,1
022301,VILLE DE TROIS-PISTOLES,59606.0,Réseaux d'aqueduc & systèmes d'irrigation,Notre-Dame-des-Neiges,0.01972024349113899,0.26069449,2021.0,2024.0,2
022507,GROUPE COLAS QUÉBEC INC.,62786.0,"Extraction de sable, gravier, argile, etc.",Saint-Antonin,0.0011111111111111111,0.00624,2020.0,2020.0,1
022601,VILLE DE SAINT-PASCAL,52307.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Pascal,0.015400500298685782,0.2035076,2020.0,2024.0,1
022601,MUNICIPALITÉ DE MONT-CARMEL,62463.0,Réseaux d'aqueduc & systèmes d'irrigation,Mont-Carmel,0.0031105002986857827,0.041108,2020.0,2024.0,2
023004,Gestion Le Boyer inc.,45015.0,Terrains de golf & country clubs,Saint-Michel-de-Bellechasse,0.0014780564646091517,0.0067258,2020.0,2024.0,1
023106,VILLE DE MONTMAGNY,48839.0,Réseaux d'aqueduc & systèmes d'irrigation,Cap-Saint-Ignace,0.056234390681003575,0.7432504,2020.0,2024.0,1
