station,nom,plan_deau,bv_prim,superfi_km2,n_sites_amont,n_sites_etiage,debit_obs_m3s,q27_ete_m3s,debit_preleve_etiage_m3s,pression_etiage_pct,debit_preleve_mois_01_m3s,debit_preleve_mois_02_m3s,debit_preleve_mois_03_m3s,debit_preleve_mois_04_m3s,debit_preleve_mois_05_m3s,debit_preleve_mois_06_m3s,debit_preleve_mois_07_m3s,debit_preleve_mois_08_m3s,debit_preleve_mois_09_m3s,debit_preleve_mois_10_m3s,debit_preleve_mois_11_m3s,debit_preleve_mois_12_m3s,lat,lon,source_coords,prelevements_caracterises
010101,Grande Rivière,Grande Rivière,0101 -La Grande Rivière,537.05,0,0,,2.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4777777778,-64.5286111111,fermee,1
010802,Bonaventure,Bonaventure,0108 -Rivière Bonaventure,1916.37,0,0,,8.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.187,-65.559,api,1
010902_03,Petite Cascapédia,Petite Cascapédia,0109 -Petite rivière Cascapédia,1379.84,0,0,,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.232000000000006,-65.733,api,1
011003,Cascapédia,Cascapédia,0110 -Rivière Cascapédia,1706.83,0,0,,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.629,-66.166,api,1
011204_01,Nouvelle,Nouvelle,0112 -Rivière Nouvelle,1155.15,0,0,,5.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.159000000000006,-66.349,api,1
011508,Matapédia,Matapédia,0116 -Rivière Ristigouche,562.24,2,2,,1.38,0.0015783653176025,0.1142436330232855,0.0013554939516129,0.0035157468698686,0.0014947244623655,0.0014983087013295,0.0014470503445553,0.0015782104086845,0.0015695727548785,0.0014168238915438,0.0013144344667943,0.0012438890349851,0.001255318287037,0.0012471066148233,48.49172199999998,-67.44883299999998,api,1
011509,Matapédia,Matapédia,0116 -Rivière Ristigouche,2757.89,3,3,,10.93,0.0028527957342692,0.0260937907751058,0.0013554939516129,0.0035157468698686,0.0014947244623655,0.0014983087013295,0.002134592011222,0.0026470914857763,0.0028440031715452,0.0025228642619142,0.0024536797659396,0.0021657640349851,0.001255318287037,0.0012471066148233,48.10799999999999,-67.13,api,1
020404,York,York,0204 -Rivière York,675.37,0,0,,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.80700000000001,-64.917,api,1
020602,Dartmouth,Dartmouth,0206 -Rivière Dartmouth,646.32,1,1,,1.65,0.0065986111111111,0.3983228687295169,0.003271650985663,0.0034548598282703,0.0029593749999999,0.0035402893518518,0.0046857638888888,0.0061165046296296,0.0061821684587813,0.0065986111111111,0.0062175925925925,0.0041444668458781,0.0035389004629629,0.002734442204301,48.97800000000001,-64.7,api,1
020802,Madeleine,Madeleine,0208 -Rivière Madeleine,1199.55,0,0,,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2028055818,-65.2947801041,fermee,1
021407,Sainte-Anne,Sainte-Anne,0214 -Rivière Sainte-Anne,783.64,0,0,,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.04399999999999,-66.476,api,1
021502,Du Cap Chat,Du Cap Chat,0215 -Rivière Cap-Chat,742.74,0,0,,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0556666667,-66.6691666667,fermee,1
021601,Matane,Matane,0216 -Rivière Matane,1659.92,0,0,,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.77400000000001,-67.54,api,1
021702,Blanche,Blanche,0217 -Rivière Blanche,211.86,1,1,,0.313,0.0004853382616487,0.15482008324219,0.0003387880824372,0.0003364685960591,0.0003346214157706,0.0003412384259259,0.0003985103046594,0.0004488888888888,0.0004713037634408,0.0004853382616487,0.000450949074074,0.0003954637096774,0.0003645486111111,0.0003888440860215,48.76704999999998,-67.66601999999999,api,1
021915,Neigette,Neigette,0219 -Rivière Mitis,495.36,1,1,,0.938,0.0002584285394265,0.0275434285017631,0.0001989247311827,0.000163254096538,0.0001383997909199,0.0001175405092592,0.0001421165621266,0.0002768518518518,0.0002584285394265,0.0002424675179211,0.0001522858796296,0.0001441252240143,0.0001832465277777,0.0002317708333333,48.5176661298,-68.1595898871,fermee,1
021916,Petite Neigette,Petite Neigette,0219 -Rivière Mitis,105.89,1,1,,0.143,0.0002584285394265,0.1803932529913243,0.0001989247311827,0.000163254096538,0.0001383997909199,0.0001175405092592,0.0001421165621266,0.0002768518518518,0.0002584285394265,0.0002424675179211,0.0001522858796296,0.0001441252240143,0.0001832465277777,0.0002317708333333,48.41972200000001,-68.35611099999998,api,1
022003,Rimouski,Rimouski,0220 -Rivière Rimouski,1636.0,2,2,,2.71,0.0012459677419354,0.045955540617113,0.0,0.0,0.0,0.0,0.00125,0.00125,0.0012419354838709,0.0012459677419354,0.0012541666666666,0.00125,0.0,0.0,48.41300000000001,-68.555,api,1
022301,Trois-Pistoles,Trois-Pistoles,0223 -Rivière des Trois Pistoles,925.06,2,2,,1.21,0.0065269319836469,0.5365217827939293,0.0046731504816308,0.0048162763570316,0.0052964173107078,0.0049876847511574,0.0055667047491039,0.0064018386863425,0.0065097999271953,0.0065116329245071,0.0058454642650462,0.0050616481854838,0.0048318998842592,0.0046670348902329,48.08900000000001,-69.195,api,1
022507,Du Loup,Du Loup,0225 -Rivière du Loup,543.0,1,0,,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0055555555555555,0.0055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,47.61200000000001,-69.645,api,1
022601,Kamouraska,Kamouraska,0226 -Rivière Kamouraska,195.78,2,2,,0.136,0.0028848342293906,2.07714128428588,0.0025399753584229,0.0025690078509852,0.0025852822580645,0.0024362731481481,0.0028007392473118,0.003001574074074,0.0027040098566308,0.0028392921146953,0.0026993287037037,0.0026390456989247,0.0029623148148148,0.0026361540471923,47.53266099999999,-69.84930799999998,api,1
022704_03,Ouelle,Ouelle,0227 -Rivière Ouelle,784.32,0,0,,0.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.38099999999999,-69.954,api,1
023002,Boyer Sud,Boyer Sud,0230 -Rivière Boyer,56.56,0,0,,0.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.707528,-70.96052799999998,api,1
023004,Boyer,Boyer,0230 -Rivière Boyer,224.9,1,1,,0.196,0.0015593082264957,0.7892861341203052,0.0,0.0,0.0,0.0,0.0010145833333333,0.0013106896638486,0.0015593082264957,0.0013609375,0.001276915922619,0.0011434027777777,0.0,0.0,46.816,-70.901,api,1
